pid,block,trial_no,name,gender,top_bottom,no_within_gender,back_next,img,img_id,img_path
177,1,1,gunther,M,bottom,842,back,218still10.jpg,218,encoding_images/male_familiarization/218still10.jpg
177,1,2,dorina,F,bottom,769,next,089still1.jpg,089,encoding_images/female_familiarization/089still1.jpg
177,1,3,holly,F,top,196353,back,034still14.jpg,034,encoding_images/female_familiarization/034still14.jpg
177,1,4,ralf,M,bottom,210,next,082still5.jpg,082,encoding_images/male_familiarization/082still5.jpg
177,1,5,erik,M,top,152162,next,035still14.jpg,035,encoding_images/male_familiarization/035still14.jpg
177,1,6,scott,M,top,753538,back,227still3.jpg,227,encoding_images/male_familiarization/227still3.jpg
177,1,7,lauralee,F,bottom,1694,back,073still4.jpg,073,encoding_images/female_familiarization/073still4.jpg
177,1,8,victoria,F,top,444401,next,290still10.jpg,290,encoding_images/female_familiarization/290still10.jpg
177,1,9,benedetto,M,bottom,514,next,126still5.jpg,126,encoding_images/male_familiarization/126still5.jpg
177,1,10,edward,M,top,577814,back,079still2.jpg,079,encoding_images/male_familiarization/079still2.jpg
177,1,11,dragan,M,bottom,255,back,225still8.jpg,225,encoding_images/male_familiarization/225still8.jpg
177,1,12,ann,F,top,222015,next,277still4.jpg,277,encoding_images/female_familiarization/277still4.jpg
177,1,13,keith,M,top,381119,next,230still18.jpg,230,encoding_images/male_familiarization/230still18.jpg
177,1,14,joy,F,top,97839,back,029still10.jpg,029,encoding_images/female_familiarization/029still10.jpg
177,1,15,viki,F,bottom,1548,back,303still2.jpg,303,encoding_images/female_familiarization/303still2.jpg
177,1,16,inge,F,bottom,520,next,013still4.jpg,013,encoding_images/female_familiarization/013still4.jpg
177,2,1,sharilyn,F,bottom,1319,back,054still10.jpg,054,encoding_images/female_familiarization/054still10.jpg
177,2,2,sarkis,M,bottom,695,back,264still16.jpg,264,encoding_images/male_familiarization/264still16.jpg
177,2,3,mardi,F,bottom,777,back,111still4.jpg,111,encoding_images/female_familiarization/111still4.jpg
177,2,4,mitchell,M,top,146323,back,031still12.jpg,031,encoding_images/male_familiarization/031still12.jpg
177,2,5,nicholas,M,top,853046,back,081still11.jpg,081,encoding_images/male_familiarization/081still11.jpg
177,2,6,elke,F,bottom,1070,next,033still3.jpg,033,encoding_images/female_familiarization/033still3.jpg
177,2,7,hendrik,M,bottom,1008,back,046still6.jpg,046,encoding_images/male_familiarization/046still6.jpg
177,2,8,nicole,F,top,588020,back,010still14.jpg,010,encoding_images/female_familiarization/010still14.jpg
177,2,9,shane,M,top,189201,next,106still12.jpg,106,encoding_images/male_familiarization/106still12.jpg
177,2,10,sandor,M,bottom,801,next,083still3.jpg,083,encoding_images/male_familiarization/083still3.jpg
177,2,11,jessica,F,top,1043236,next,299still6.jpg,299,encoding_images/female_familiarization/299still6.jpg
177,2,12,stanislaw,M,bottom,233,next,002still12.jpg,002,encoding_images/male_familiarization/002still12.jpg
177,2,13,julene,F,bottom,1281,next,242still11.jpg,242,encoding_images/female_familiarization/242still11.jpg
177,2,14,kara,F,top,99531,next,219still3.jpg,219,encoding_images/female_familiarization/219still3.jpg
177,2,15,jacquelyn,F,top,63821,back,295still9.jpg,295,encoding_images/female_familiarization/295still9.jpg
177,2,16,daniel,M,top,1685810,next,102still12.jpg,102,encoding_images/male_familiarization/102still12.jpg
177,3,1,giulio,M,bottom,513,back,047still4.jpg,047,encoding_images/male_familiarization/047still4.jpg
177,3,2,trudie,F,bottom,1221,back,214still11.jpg,214,encoding_images/female_familiarization/214still11.jpg
177,3,3,frank,M,top,327936,back,252still5.jpg,252,encoding_images/male_familiarization/252still5.jpg
