pid,block,trial_no,name,gender,top_bottom,no_within_gender,back_next,img,img_id,img_path
138,1,1,andrew,M,top,1156589,next,012still3.jpg,012,encoding_images/male_familiarization/012still3.jpg
138,1,2,despina,F,bottom,1097,next,085still3.jpg,085,encoding_images/female_familiarization/085still3.jpg
138,1,3,karla,F,top,85468,next,287still14.jpg,287,encoding_images/female_familiarization/287still14.jpg
138,1,4,julia,F,top,290106,back,257still7.jpg,257,encoding_images/female_familiarization/257still7.jpg
138,1,5,petar,M,bottom,552,back,106still12.jpg,106,encoding_images/male_familiarization/106still12.jpg
138,1,6,lawrence,M,top,215414,next,082still5.jpg,082,encoding_images/male_familiarization/082still5.jpg
138,1,7,alla,F,bottom,397,next,042still9.jpg,042,encoding_images/female_familiarization/042still9.jpg
138,1,8,ricky,M,top,214299,back,045still4.jpg,045,encoding_images/male_familiarization/045still4.jpg
138,1,9,christina,F,top,455831,next,089still1.jpg,089,encoding_images/female_familiarization/089still1.jpg
138,1,10,viki,F,bottom,1548,back,168still10.jpg,168,encoding_images/female_familiarization/168still10.jpg
138,1,11,vahe,M,bottom,239,next,236still1.jpg,236,encoding_images/male_familiarization/236still1.jpg
138,1,12,emily,F,top,782318,back,063still18.jpg,063,encoding_images/female_familiarization/063still18.jpg
138,1,13,shane,M,top,189201,back,284still1.jpg,284,encoding_images/male_familiarization/284still1.jpg
138,1,14,elke,F,bottom,1070,back,179still3.jpg,179,encoding_images/female_familiarization/179still3.jpg
138,1,15,nunzio,M,bottom,496,back,134still4.jpg,134,encoding_images/male_familiarization/134still4.jpg
138,1,16,peder,M,bottom,596,next,252still5.jpg,252,encoding_images/male_familiarization/252still5.jpg
138,2,1,arla,F,bottom,935,next,291still3.jpg,291,encoding_images/female_familiarization/291still3.jpg
138,2,2,charles,M,top,1143261,back,146still1.jpg,146,encoding_images/male_familiarization/146still1.jpg
138,2,3,natalie,F,top,336927,next,040still3.jpg,040,encoding_images/female_familiarization/040still3.jpg
138,2,4,stanislaw,M,bottom,233,next,092still9.jpg,092,encoding_images/male_familiarization/092still9.jpg
138,2,5,carl,M,top,222487,next,204still4.jpg,204,encoding_images/male_familiarization/204still4.jpg
138,2,6,nancy,F,top,531232,next,021still9.jpg,021,encoding_images/female_familiarization/021still9.jpg
138,2,7,giulio,M,bottom,513,back,205still6.jpg,205,encoding_images/male_familiarization/205still6.jpg
138,2,8,brian,M,top,1140348,next,269still2.jpg,269,encoding_images/male_familiarization/269still2.jpg
138,2,9,dyan,F,bottom,1733,back,132still6.jpg,132,encoding_images/female_familiarization/132still6.jpg
138,2,10,yaron,M,bottom,271,next,120still2.jpg,120,encoding_images/male_familiarization/120still2.jpg
138,2,11,catherine,F,top,359514,back,013still4.jpg,013,encoding_images/female_familiarization/013still4.jpg
138,2,12,pamela,F,top,518671,back,290still10.jpg,290,encoding_images/female_familiarization/290still10.jpg
138,2,13,andrzej,M,bottom,357,back,278still3.jpg,278,encoding_images/male_familiarization/278still3.jpg
138,2,14,larysa,F,bottom,155,back,178still9.jpg,178,encoding_images/female_familiarization/178still9.jpg
138,2,15,sigrid,F,bottom,1294,next,111still4.jpg,111,encoding_images/female_familiarization/111still4.jpg
138,2,16,walter,M,top,192165,back,090still3.jpg,090,encoding_images/male_familiarization/090still3.jpg
138,3,1,jon,M,top,140402,back,166still2.jpg,166,encoding_images/male_familiarization/166still2.jpg
138,3,2,mitchell,M,top,146323,back,113still9.jpg,113,encoding_images/male_familiarization/113still9.jpg
138,3,3,aneta,F,bottom,482,back,235still1.jpg,235,encoding_images/female_familiarization/235still1.jpg
138,3,4,bryan,M,top,375144,next,237still6.jpg,237,encoding_images/male_familiarization/237still6.jpg
138,3,5,friedrich,M,bottom,472,next,247still7.jpg,247,encoding_images/male_familiarization/247still7.jpg
138,3,6,bonni,F,bottom,1167,back,265still5.jpg,265,encoding_images/female_familiarization/265still5.jpg
138,3,7,katherine,F,top,467064,back,124still10.jpg,124,encoding_images/female_familiarization/124still10.jpg
138,3,8,eleftherios,M,bottom,168,next,058still6.jpg,058,encoding_images/male_familiarization/058still6.jpg
138,3,9,kimberly,F,top,837190,back,277still4.jpg,277,encoding_images/female_familiarization/277still4.jpg
138,3,10,mardi,F,bottom,777,next,223still6.jpg,223,encoding_images/female_familiarization/223still6.jpg
138,3,11,siegfried,M,bottom,398,back,044still13.jpg,044,encoding_images/male_familiarization/044still13.jpg
138,3,12,olena,F,bottom,333,next,185still4.jpg,185,encoding_images/female_familiarization/185still4.jpg
138,3,13,erica,F,top,229825,next,131still13.jpg,131,encoding_images/female_familiarization/131still13.jpg
138,3,14,sandor,M,bottom,801,back,064still3.jpg,064,encoding_images/male_familiarization/064still3.jpg
138,3,15,james,M,top,2877483,next,027still14.jpg,027,encoding_images/male_familiarization/027still14.jpg
138,3,16,katie,F,top,192494,next,073still4.jpg,073,encoding_images/female_familiarization/073still4.jpg
138,4,1,margaret,F,top,368973,back,286still6.jpg,286,encoding_images/female_familiarization/286still6.jpg
138,4,2,fae,F,bottom,549,back,050still16.jpg,050,encoding_images/female_familiarization/050still16.jpg
138,4,3,arno,M,bottom,590,back,233still4.jpg,233,encoding_images/male_familiarization/233still4.jpg
138,4,4,marshall,M,top,58353,back,158still14.jpg,158,encoding_images/male_familiarization/158still14.jpg
138,4,5,vincenza,F,bottom,1053,next,217still9.jpg,217,encoding_images/female_familiarization/217still9.jpg
138,4,6,richard,M,top,1437063,next,240still5.jpg,240,encoding_images/male_familiarization/240still5.jpg
138,4,7,sarkis,M,bottom,695,next,020still7.jpg,020,encoding_images/male_familiarization/020still7.jpg
138,4,8,theresa,F,top,266524,next,215still8.jpg,215,encoding_images/female_familiarization/215still8.jpg
138,4,9,raffaele,M,bottom,866,next,238still5.jpg,238,encoding_images/male_familiarization/238still5.jpg
138,4,10,brent,M,top,133633,back,202still12.jpg,202,encoding_images/male_familiarization/202still12.jpg
