pid,block,trial_no,name,gender,top_bottom,no_within_gender,back_next,img,img_id,img_path
135,1,1,sandor,M,bottom,801,back,270still12.jpg,270,encoding_images/male_familiarization/270still12.jpg
135,1,2,julene,F,bottom,1281,back,132still6.jpg,132,encoding_images/female_familiarization/132still6.jpg
135,1,3,donald,M,top,624929,next,053still11.jpg,053,encoding_images/male_familiarization/053still11.jpg
135,1,4,kathleen,F,top,468245,back,253still5.jpg,253,encoding_images/female_familiarization/253still5.jpg
135,1,5,susette,F,bottom,924,back,294still16.jpg,294,encoding_images/female_familiarization/294still16.jpg
135,1,6,tanya,F,top,113973,next,039still14.jpg,039,encoding_images/female_familiarization/039still14.jpg
135,1,7,spiro,M,bottom,681,back,258still7.jpg,258,encoding_images/male_familiarization/258still7.jpg
135,1,8,per,M,bottom,352,next,259still7.jpg,259,encoding_images/male_familiarization/259still7.jpg
135,1,9,oleg,M,bottom,405,next,134still4.jpg,134,encoding_images/male_familiarization/134still4.jpg
135,1,10,charlotte,F,top,218590,back,223still6.jpg,223,encoding_images/female_familiarization/223still6.jpg
135,1,11,eileen,F,top,86787,next,135still20.jpg,135,encoding_images/female_familiarization/135still20.jpg
135,1,12,shane,M,top,189201,next,202still12.jpg,202,encoding_images/male_familiarization/202still12.jpg
135,1,13,eleonora,F,bottom,706,next,040still3.jpg,040,encoding_images/female_familiarization/040still3.jpg
135,1,14,kyle,M,top,477434,back,114still6.jpg,114,encoding_images/male_familiarization/114still6.jpg
135,1,15,lorilee,F,bottom,777,next,028still13.jpg,028,encoding_images/female_familiarization/028still13.jpg
135,1,16,jerry,M,top,337346,back,011still7.jpg,011,encoding_images/male_familiarization/011still7.jpg
135,2,1,dorina,F,bottom,769,back,022still10.jpg,022,encoding_images/female_familiarization/022still10.jpg
135,2,2,ahmet,M,bottom,568,back,209still4.jpg,209,encoding_images/male_familiarization/209still4.jpg
135,2,3,brenda,F,top,489885,next,104still6.jpg,104,encoding_images/female_familiarization/104still6.jpg
135,2,4,bruce,M,top,266615,next,194still2.jpg,194,encoding_images/male_familiarization/194still2.jpg
135,2,5,wendy,F,top,252118,back,127still1.jpg,127,encoding_images/female_familiarization/127still1.jpg
135,2,6,seymour,M,bottom,637,back,126still5.jpg,126,encoding_images/male_familiarization/126still5.jpg
135,2,7,micheal,M,top,138560,next,267still6.jpg,267,encoding_images/male_familiarization/267still6.jpg
