name,gender,top_bottom,no_within_gender,block,back_next,pid
carolyn,F,top,268115,3,back,126
lorilee,F,bottom,777,1,next,126
jane,F,top,167264,4,back,126
nancie,F,bottom,1661,1,back,126
micheline,F,bottom,999,3,back,126
douglas,M,top,425214,3,back,126
richard,M,top,1437063,3,back,126
laura,F,top,625215,3,back,126
dorina,F,bottom,769,3,back,126
katrin,F,bottom,1057,1,back,126
stephanie,F,top,722629,4,next,126
benedetto,M,bottom,514,2,next,126
trudie,F,bottom,1221,3,next,126
kyle,M,top,477434,4,next,126
larry,M,top,474102,3,next,126
justin,M,top,774052,4,next,126
niels,M,bottom,1009,2,next,126
diana,F,top,292229,1,back,126
raffaele,M,bottom,866,2,back,126
aaron,M,top,562838,4,back,126
brian,M,top,1140348,2,back,126
larysa,F,bottom,155,2,back,126
zoltan,M,bottom,728,3,back,126
ashraf,M,bottom,827,1,back,126
bogdan,M,bottom,589,1,back,126
jennine,F,bottom,1206,3,next,126
gunther,M,bottom,842,3,back,126
karalee,F,bottom,1098,4,next,126
cindy,F,top,250580,4,back,126
viki,F,bottom,1548,2,next,126
zoran,M,bottom,369,4,back,126
gennaro,M,bottom,1338,1,next,126
eyal,M,bottom,386,1,next,126
nella,F,bottom,1375,4,back,126
friedrich,M,bottom,472,3,next,126
jeffery,M,top,224133,4,back,126
randy,M,top,313236,1,next,126
raffi,M,bottom,754,2,back,126
nathan,M,top,527664,1,next,126
tadeusz,M,bottom,181,4,next,126
scott,M,top,753538,1,back,126
micheal,M,top,138560,2,next,126
per,M,bottom,352,4,back,126
martyn,M,bottom,475,4,next,126
joel,M,top,235760,1,back,126
troy,M,top,191394,2,back,126
dennis,M,top,414755,2,next,126
teresa,F,top,368426,2,next,126
beata,F,bottom,606,2,next,126
nancy,F,top,531232,1,next,126
elaine,F,top,112546,2,back,126
waldemar,M,bottom,515,3,next,126
catherine,F,top,359514,2,back,126
holly,F,top,196353,2,next,126
giuseppina,F,bottom,686,4,next,126
renee,F,top,170408,1,next,126
rebecca,F,top,659563,3,next,126
emily,F,top,782318,3,next,126
barbara,F,top,583637,4,next,126
sigrid,F,bottom,1294,1,next,126
brita,F,bottom,1035,2,back,126
michael,M,top,3899849,3,next,126
alene,F,bottom,1781,4,back,126
anna,F,top,397826,1,back,126
