name,gender,top_bottom,no_within_gender,block,back_next,pid
valerie,F,top,240233,2,back,139
michael,M,top,3899849,3,back,139
aneta,F,bottom,482,4,next,139
joline,F,bottom,1507,2,back,139
timothy,M,top,1017662,3,back,139
alice,F,top,142838,3,next,139
derek,M,top,231261,4,back,139
ole,M,bottom,644,3,back,139
per,M,bottom,352,3,next,139
sean,M,top,418137,4,next,139
herve,M,bottom,155,3,back,139
gennaro,M,bottom,1338,1,back,139
friedrich,M,bottom,472,2,next,139
thomas,M,top,1464735,1,back,139
benjamin,M,top,677813,4,back,139
tanya,F,top,113973,1,back,139
anthony,M,top,1246681,2,back,139
frances,F,top,111510,1,back,139
nicole,F,top,588020,1,next,139
steven,M,top,1191666,1,next,139
charlotte,F,top,218590,3,next,139
virgina,F,bottom,815,4,back,139
stephen,M,top,699430,2,next,139
amanda,F,top,765106,4,next,139
karalee,F,bottom,1098,1,back,139
andrew,M,top,1156589,1,next,139
katrin,F,bottom,1057,3,back,139
kathryn,F,top,305197,3,back,139
philip,M,top,210599,3,next,139
sigrid,F,bottom,1294,1,next,139
arla,F,bottom,935,4,back,139
vincenza,F,bottom,1053,3,next,139
samantha,F,top,576788,2,back,139
eleonora,F,bottom,706,2,back,139
marie,F,top,139785,3,back,139
martyn,M,bottom,475,4,back,139
giulio,M,bottom,513,4,back,139
denise,F,top,359710,4,back,139
dennis,M,top,414755,1,back,139
wesley,M,top,171701,2,back,139
hendrik,M,bottom,1008,2,back,139
nunzio,M,bottom,496,3,next,139
stephanie,F,top,722629,2,next,139
niels,M,bottom,1009,1,back,139
eyal,M,bottom,386,4,next,139
trudie,F,bottom,1221,2,next,139
eric,M,top,857523,2,next,139
christianne,F,bottom,1422,3,next,139
karine,F,bottom,1087,1,back,139
virginia,F,top,160284,4,back,139
lawrence,M,top,215414,3,next,139
edward,M,top,577814,4,next,139
despina,F,bottom,1097,1,next,139
yaron,M,bottom,271,2,next,139
lauralee,F,bottom,1694,2,next,139
beata,F,bottom,606,3,back,139
ralf,M,bottom,210,4,next,139
vahe,M,bottom,239,2,back,139
colm,M,bottom,577,1,next,139
milos,M,bottom,337,1,next,139
teresa,F,top,368426,2,next,139
kristen,F,top,217163,4,next,139
inge,F,bottom,520,4,next,139
kristina,F,top,134844,1,next,139
