name,gender,top_bottom,no_within_gender,block,back_next,pid
elaine,F,top,112546,2,back,143
steven,M,top,1191666,3,next,143
elke,F,bottom,1070,1,next,143
despina,F,bottom,1097,3,next,143
seymour,M,bottom,637,4,next,143
petar,M,bottom,552,2,next,143
charlotte,F,top,218590,1,next,143
katrin,F,bottom,1057,2,next,143
antonietta,F,bottom,991,3,next,143
charles,M,top,1143261,4,back,143
ashraf,M,bottom,827,4,next,143
cindy,F,top,250580,3,back,143
shane,M,top,189201,4,next,143
bethanne,F,bottom,1244,2,back,143
julene,F,bottom,1281,2,back,143
pamela,F,top,518671,2,next,143
jonathan,M,top,833226,3,next,143
jolyn,F,bottom,1852,3,back,143
rebecca,F,top,659563,1,next,143
marshall,M,top,58353,2,next,143
viki,F,bottom,1548,3,back,143
joel,M,top,235760,2,back,143
waldemar,M,bottom,515,2,back,143
phillip,M,top,237464,1,next,143
faith,F,top,127208,2,next,143
christoph,M,bottom,1126,3,back,143
dorina,F,bottom,769,2,next,143
ralf,M,bottom,210,2,back,143
louanne,F,bottom,1201,1,next,143
wesley,M,top,171701,4,back,143
janet,F,top,311862,1,back,143
nancy,F,top,531232,4,next,143
kyle,M,top,477434,1,next,143
arthur,M,top,176969,3,back,143
hannelore,F,bottom,242,4,back,143
amy,F,top,666708,3,next,143
colleen,F,top,137890,3,back,143
frederick,M,top,128814,1,back,143
bonni,F,bottom,1167,4,next,143
florian,M,bottom,873,4,back,143
elizabeth,F,top,1076566,2,back,143
trudie,F,bottom,1221,4,next,143
bridgit,F,bottom,1274,1,back,143
patrick,M,top,585266,2,back,143
valerie,F,top,240233,3,next,143
peder,M,bottom,596,3,back,143
gunther,M,bottom,842,2,next,143
raffaele,M,bottom,866,1,next,143
yaron,M,bottom,271,1,next,143
arno,M,bottom,590,3,next,143
tanya,F,top,113973,4,back,143
dean,M,top,132701,3,back,143
ann,F,top,222015,4,back,143
inge,F,bottom,520,4,back,143
per,M,bottom,352,3,next,143
eileen,F,top,86787,1,back,143
heinz,M,bottom,398,4,back,143
sergei,M,bottom,341,1,back,143
nella,F,bottom,1375,1,back,143
niels,M,bottom,1009,1,back,143
corey,M,top,182107,4,next,143
sarah,F,top,870818,4,next,143
jeffrey,M,top,939996,1,back,143
donald,M,top,624929,2,next,143
